cod_ibge;ano;nascidosvivos;popfem_15a49anos;populacao
3552601;2000;138;2767;10488
3552700;2000;237;3453;12967
3552809;2000;5043;61010;197247
3552908;2000;104;1376;5216
3553005;2000;164;2058;7458
3553104;2000;77;1418;5613
3553203;2000;70;1397;5503
3553302;2000;405;5817;22234
3553401;2000;319;6191;22577
3553500;2000;217;2096;8538
3553609;2000;213;3475;12931
3553658;2000;43;710;2721
3553708;2000;819;13920;52013
3553807;2000;382;5907;21947
3553856;2000;116;1131;4457
3553906;2000;112;1542;5775
3553955;2000;211;2992;10731
3554003;2000;1696;25215;93235
3554102;2000;4300;70109;243783
3554201;2000;98;1307;5330
3554300;2000;432;5433;19991
3554409;2000;112;1981;7741
3554508;2000;545;8672;31638
3554607;2000;36;671;2732
3554656;2000;32;523;2133
3554706;2000;142;2203;8824
3554755;2000;24;346;1380
3554805;2000;564;9430;34746
3554904;2000;58;1339;5158
3554953;2000;59;1238;4947
3555000;2000;941;17463;63288
3555109;2000;144;3511;13293
3555208;2000;15;481;1897
3555307;2000;13;598;2369
3555356;2000;113;1071;4204
3555406;2000;1558;18282;66644
3555505;2000;60;1014;4156
3555604;2000;103;2318;9028
3555703;2000;19;333;1354
3555802;2000;95;2350;8822
3555901;2000;18;372;1404
3556008;2000;151;3092;11825
3556107;2000;107;2352;8575
3556206;2000;1263;24227;82817
3556305;2000;300;4714;18554
3556354;2000;85;1777;6953
3556404;2000;661;9890;36247
3556453;2000;768;9391;32464
3556503;2000;1921;27123;92537
3556602;2000;194;2867;11085
3556701;2000;813;13829;47065
3556800;2000;256;4194;15933
3556909;2000;59;1308;4742
3556958;2000;26;476;1673
3557006;2000;1936;27151;95767
3557105;2000;1001;21599;75528
3557154;2000;21;511;1947
3557204;2000;199;3276;12189
3557303;2000;129;2410;8832
3500000;2001;1303;;
3500105;2001;398;9179;33577
3500204;2001;46;962;3685
3500303;2001;499;7674;28586
3500402;2001;84;1853;7178
3500501;2001;261;4433;16264
3500550;2001;75;1351;5252
3500600;2001;25;519;1968
3500709;2001;578;8957;32740
3500758;2001;66;979;3771
3500808;2001;42;946;3725
3500907;2001;49;906;3555
3501004;2001;253;4119;15529
3501103;2001;47;1026;4250
3501152;2001;291;4337;15424
3501202;2001;33;1042;4289
3501301;2001;352;6156;22757
3501400;2001;64;865;4156
3501509;2001;51;721;2859
3501608;2001;2631;53723;185311
3501707;2001;500;8144;28817
3501806;2001;72;1478;5618
3501905;2001;893;16685;60958
3502002;2001;45;937;3638
3502101;2001;736;15187;55251
3502200;2001;371;5143;19599
3502309;2001;57;1157;4628
3502408;2001;49;907;3452
3502507;2001;481;9972;34893
3502606;2001;64;1261;4904
3502705;2001;544;7016;27085
3502754;2001;264;3197;11662
3502804;2001;2224;49454;170607
3502903;2001;337;5485;20539
3503000;2001;58;1315;4805
3503109;2001;121;1581;6096
3503158;2001;47;668;2620
3503208;2001;2334;53099;184957
3503307;2001;1477;29613;105512
3503356;2001;27;532;2149
3503406;2001;77;1838;7305
3503505;2001;60;899;3609
3503604;2001;196;2689;10349
3503703;2001;95;2028;7573
3503802;2001;611;9850;34153
3503901;2001;1280;17619;60632
3503950;2001;24;463;1863
3504008;2001;1266;24970;88036
3504107;2001;1982;31573;112779
3504206;2001;191;3736;13597
3504305;2001;62;1159;4636
3504404;2001;152;2346;9082
3504503;2001;1209;20988;77062
3504602;2001;166;3366;11816
3504701;2001;17;372;1550
3504800;2001;91;2008;7429
3504909;2001;168;2567;9782
3505005;2001;51;685;2832
3505104;2001;86;1516;5913
3505203;2001;435;7383;28601
3505302;2001;447;10138;35480
3505351;2001;97;1105;4897
3505401;2001;154;1830;8079
3505500;2001;1432;29208;104703
3505609;2001;497;6792;24601
3505708;2001;5364;63733;211109
3505807;2001;352;5662;20601
3505906;2001;778;14089;51652
3506003;2001;4972;91162;318803
3506102;2001;1095;20714;74942
3506201;2001;27;626;2417
3506300;2001;165;2675;10729
3506359;2001;683;8748;31416
3506409;2001;72;1703;6191
3506508;2001;1275;28017;95652
3506607;2001;474;6496;25030
3506706;2001;227;3360;12693
